id,name,email,department,role
9bef853d-02f7-4f7c-8064-1aeaf1e359e4,Brian Lopez,michaeljohnson@example.org,Data Engineering,Solution Consultant
3c0cd2cf-796a-45d1-89aa-4a28216ffbaa,Cheryl Sandoval,adamsjill@example.net,Data Science,Solution Consultant
6a37a940-e66c-43b8-8ced-b7d9ff3166d8,Randy Ingram,richard58@example.com,Data Engineering,Solution Consultant
3e752c4b-14f3-4fc4-ad05-379b5058e7db,Mary Turner,ksmith@example.net,Data Science,Sr Software Engineer
052acac7-9dec-4024-a85f-d41de192925c,Mary Davis,ginafrancis@example.net,Data Engineering,Sr Software Engineer
a3954eca-89c7-41fe-bf10-5e357b16e3b2,David Gray,dawnsmith@example.com,Data Engineering,Solution Enabler
175aed35-b3b0-4547-9bc5-023840bb2fc0,Stephen Macdonald,wsantana@example.org,Data Science,Sr Software Engineer
9a18e1a0-7043-4f7c-8df8-34b880879d1e,Anne Rodriguez,shawpaula@example.com,Data Science,Solution Consultant
19d800cc-2739-4f11-a6c7-739302033099,Eric Cole,onguyen@example.net,Data Science,Solution Enabler
64cf9591-21e6-480f-b3bb-7b512f488c13,Stephen Moore,ghensley@example.com,Data Science,Solution Consultant
8765a4fd-75ff-46bf-89fd-ef622cdc7ec8,Jeffrey Sutton,watsoncarla@example.org,Data Engineering,Sr Software Engineer
6a688760-3bd3-413a-9fd1-2539a0359dd5,Paul Johnson,pclark@example.net,Data Engineering,Sr Software Engineer
4a0526b3-e8f4-4635-ad4e-61ba5646f4aa,Brandon Lynch,arnoldrose@example.net,Data Engineering,Software Engineer
d1f5573e-8b41-4711-91af-e1ee4a18495f,Scott Johnson,morenophilip@example.com,Full Stack,Solution Consultant
6b2b1602-3988-4279-b6a9-973836ef9d72,Jennifer Riddle,upierce@example.net,Full Stack,Sr Software Engineer
3a3acb36-4eb7-4d62-a3a6-5a5e1b59b43c,Jessica Alvarez,felicia17@example.net,Full Stack,Sr Software Engineer
262a4c56-70a6-400b-a8a8-02d1e0770c80,Calvin Williams,john54@example.com,Data Science,Software Engineer
97688c8a-7bf8-4e86-9466-f72969341357,Benjamin Thomas,collinsmarissa@example.org,Data Science,Solution Consultant
df86e9c7-1e64-4235-8588-62336213ebfc,Michelle Mccoy,jharris@example.com,Full Stack,Sr Software Engineer
4bdba798-b10b-4fe9-8c5b-efc1d712e5c7,Patrick Freeman,stephendaniels@example.org,Full Stack,Software Engineer
45143d54-9c26-40e4-a937-957698021466,Derek Scott,taylorconnie@example.com,Data Engineering,Solution Consultant
d97d6d05-5564-46b0-a124-c6fc64b39689,William Lane,gonzalezphillip@example.org,Data Engineering,Solution Enabler
20b92ba6-e95b-4529-9bc5-13924cdbe04e,David Austin,williamsonandrew@example.net,Full Stack,Solution Consultant
9524edc4-e124-4a77-ba5f-8f644f3f4126,Amy Ray,aprilross@example.com,Full Stack,Sr Software Engineer
18d780e8-1a52-4754-bf6c-95de2d4c498a,Dylan Harris,sullivanangela@example.org,Data Engineering,Solution Consultant
34f364f8-9f35-437f-b7e8-00794887f23d,Kenneth Watson,longdaryl@example.org,Data Science,Solution Enabler
a109e6e0-1e20-4949-bf41-33d07e8eff88,Mitchell Taylor,jjohnson@example.com,Data Science,Solution Consultant
fd49abb6-8139-4761-a0aa-58cb99619fec,Douglas Williams,christina45@example.org,Data Engineering,Solution Consultant
1b3f8542-1f7e-4dca-b011-f6f0d5087716,Andre Boyle,cday@example.com,Full Stack,Software Engineer
3159618f-6473-47ac-9015-5b0447fc08cc,Bethany Nelson,fmoore@example.com,Full Stack,Sr Software Engineer
4d168da6-e461-4818-978c-e93aeb2022b9,Gary Jackson,kennethhorn@example.net,Full Stack,Solution Consultant
69905945-f187-48f5-84bb-77b949930273,Ronald Barnes,adam43@example.com,Data Science,Sr Software Engineer
9cdbd576-d3a7-46cd-9fe5-32df2b5ddafd,Jessica Brown,lonniebell@example.org,Full Stack,Solution Enabler
ffa4d3fe-b08e-4d52-be8f-93778991e0cd,Timothy Robles,xcuevas@example.org,Full Stack,Solution Consultant
b03b1977-7445-4313-8af2-f5f5ded1b442,Kathleen Russell,rstafford@example.org,Full Stack,Solution Consultant
80427cd0-438f-4cf5-84ca-626638403fc5,Robert Payne,alyssa56@example.net,Full Stack,Sr Software Engineer
e0c06790-683b-4d4b-b55c-23a690a1ee6c,Miranda Williams,deannahale@example.net,Data Science,Sr Software Engineer
7a49c65a-a3ec-4460-a3ac-798e8f003728,April Smith,qpreston@example.net,Data Science,Solution Consultant
0e0c7bd0-200b-48d7-9584-266bada5ad2f,Jenny Campbell,kwhite@example.org,Full Stack,Sr Software Engineer
d8d4b97a-b3be-4b19-8331-ba2fe19c411e,Catherine Nelson,osbornebob@example.org,Data Engineering,Software Engineer
92d3142d-536c-4181-a3e9-3b06dc638ac0,Brenda Gonzalez,tcombs@example.net,Data Science,Solution Enabler
476536d7-5cd7-46e4-99b4-d4af80bbb131,Joseph Harding,kcox@example.com,Full Stack,Solution Consultant
fcdfa651-8d29-4c72-98b9-8def4daa05b4,Sarah Chambers,reevesjoseph@example.com,Data Engineering,Solution Consultant
ced68499-b265-4866-be04-837625eff936,Kenneth Hill,rodgersstephanie@example.net,Full Stack,Solution Enabler
2f23f4fe-f67b-468a-802b-60d6170d586b,Claudia Powers,anthonynelson@example.net,Data Engineering,Sr Software Engineer
462a5136-9973-4b33-a65b-ffcdc972565b,Jorge Guzman,ashley07@example.com,Data Science,Sr Software Engineer
f208c06b-f65c-422f-9796-c0ff86eee685,Sylvia Avery,rbowman@example.org,Full Stack,Software Engineer
401eeab0-1c95-4d63-86f4-03df4caf80db,Michael Hall,carrtammy@example.net,Full Stack,Solution Enabler
7f7cc854-cffb-472f-bac3-2191457fe150,Mark Garner,acline@example.net,Data Engineering,Sr Software Engineer
405f6bd7-fb97-40f8-a5d5-b62a5eb95920,Dr. Ryan Lewis,smithjames@example.net,Data Science,Solution Enabler
04ea7450-ec5a-4cb5-b98e-f1e241058f4b,Keith Allen,john05@example.org,Data Engineering,Sr Software Engineer
ebfa1bd4-167b-42b1-8d1b-ae5a514ffe59,John Clark,atkinsroger@example.net,Full Stack,Software Engineer
2dafe10a-0e8e-4d2e-8f80-cca1820d113e,Michael Payne,patrick66@example.com,Full Stack,Sr Software Engineer
3de7102d-c673-468e-911e-47ea0d03d3c4,Pamela Bass,mooremary@example.com,Data Science,Sr Software Engineer
e2dfd56e-3b4e-4495-85c0-c03228d2adfd,Jason Williams,zhurst@example.net,Data Engineering,Solution Consultant
082e4bc6-daa1-4dea-9489-938d03344ef6,Christopher Moore,amy64@example.org,Data Engineering,Sr Software Engineer
83b1edf1-d3ac-4e0b-b42f-2431ad28823b,Marissa French,timothylopez@example.com,Full Stack,Software Engineer
3adab047-bb5e-4ebe-9726-2ccb5a0bb18b,Edward Wyatt,leechristina@example.org,Data Engineering,Software Engineer
